Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
LiH Molecule,-8.949737,QAOA (p=3),5,-8.579010,0.220279,0.098512,-8.556921,0.219665,400,46
LiH Molecule,-8.949737,Correct QNG,5,-8.138049,0.337662,0.151007,-8.138049,0.337662,720,0
LiH Molecule,-8.949737,AdamW,5,-8.735873,0.180809,0.080860,-8.735873,0.180809,640,0
LiH Molecule,-8.949737,SPSA,5,-8.027748,0.278907,0.124731,-8.014840,0.286499,200,0
Heisenberg N=4,-6.464102,QLTO V3 (walk-grad),5,-5.880526,0.100559,0.044971,-5.830650,0.087233,180,164
Heisenberg N=4,-6.464102,QLTO V2 (engine-grad),5,-6.042935,0.035895,0.016053,-6.032101,0.026349,720,436
Heisenberg N=4,-6.464102,QAOA (p=3),5,-4.649638,0.927145,0.414632,-4.635763,0.927355,400,25
Heisenberg N=4,-6.464102,Correct QNG,5,-5.579314,0.586588,0.262330,-5.569073,0.579207,720,0
Heisenberg N=4,-6.464102,AdamW,5,-5.724435,0.122635,0.054844,-5.723412,0.122750,640,0
Heisenberg N=4,-6.464102,SPSA,5,-4.899175,0.901321,0.403083,-4.879130,0.900730,200,0
Heisenberg N=6,-9.974309,QLTO V3 (walk-grad),5,-8.543445,0.355988,0.159203,-8.440900,0.334180,180,248
Heisenberg N=6,-9.974309,QLTO V2 (engine-grad),5,-9.077521,0.104731,0.046837,-9.074666,0.106118,1000,658
Heisenberg N=6,-9.974309,QAOA (p=3),5,-4.212207,1.000956,0.447641,-4.192532,1.012190,400,31
Heisenberg N=6,-9.974309,Correct QNG,5,-8.690798,0.608376,0.272074,-8.688998,0.607620,1040,0
Heisenberg N=6,-9.974309,AdamW,5,-8.286798,0.729683,0.326324,-8.286798,0.729683,960,0
Heisenberg N=6,-9.974309,SPSA,5,-7.582581,1.773464,0.793117,-7.579344,1.773149,200,0
Heisenberg N=8,-13.499730,QLTO V3 (walk-grad),5,-10.741980,0.841756,0.376445,-10.658504,0.834016,180,332
Heisenberg N=8,-13.499730,QLTO V2 (engine-grad),5,-12.094458,0.078003,0.034884,-12.094458,0.078003,1280,880
Heisenberg N=8,-13.499730,QAOA (p=3),5,-5.293743,0.697182,0.311789,-5.278007,0.702374,400,37
Heisenberg N=8,-13.499730,Correct QNG,5,-11.074863,0.929409,0.415644,-11.074863,0.929409,1360,0
Heisenberg N=8,-13.499730,AdamW,5,-10.955584,0.894264,0.399927,-10.955584,0.894264,1280,0
Heisenberg N=8,-13.499730,SPSA,5,-8.799813,1.089755,0.487353,-8.798266,1.089180,200,0
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),1,-1.406292,0.000000,0.000000,-1.406292,0.000000,180,286
Frustrated Ising N=4,-1.549051,QLTO V3 (Hadamard),1,-1.295022,0.000000,0.000000,-1.274859,0.000000,180,149
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),1,-1.414690,0.000000,0.000000,-1.402495,0.000000,720,419
Frustrated Ising N=4,-1.549051,QAOA (p=3),1,-0.974764,0.000000,0.000000,-0.953655,0.000000,400,43
Frustrated Ising N=4,-1.549051,Correct QNG,1,-0.977541,0.000000,0.000000,-0.977541,0.000000,720,0
Frustrated Ising N=4,-1.549051,AdamW,1,-1.376400,0.000000,0.000000,-1.376400,0.000000,640,0
Frustrated Ising N=4,-1.549051,SPSA,1,-0.868528,0.000000,0.000000,-0.865019,0.000000,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),1,0.007399,0.000000,0.000000,0.007399,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (Hadamard),1,0.183373,0.000000,0.000000,0.215069,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),1,0.049210,0.000000,0.000000,0.098061,0.000000,640,389
MaxCut N=4 (Opt=4.0),-0.000000,QAOA (p=3),1,0.573262,0.000000,0.000000,0.586126,0.000000,400,22
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,1,0.627879,0.000000,0.000000,0.627879,0.000000,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,1,0.129716,0.000000,0.000000,0.129716,0.000000,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,1,0.948337,0.000000,0.000000,0.948337,0.000000,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),1,0.009780,0.000000,0.000000,0.009780,0.000000,180,490
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 (Hadamard),1,0.497651,0.000000,0.000000,0.630970,0.000000,180,224
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V2 (engine-grad),1,0.012943,0.000000,0.000000,0.021531,0.000000,880,626
MaxCut N=6 (Opt=12.0),-0.000000,QAOA (p=3),1,6.746117,0.000000,0.000000,6.746117,0.000000,400,67
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,1,0.044831,0.000000,0.000000,0.044831,0.000000,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,1,1.434319,0.000000,0.000000,1.434319,0.000000,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,1,4.027037,0.000000,0.000000,4.027037,0.000000,200,0
H2 Molecule,-1.857275,QLTO V3 QPE (k=4),1,-1.836330,0.000000,0.000000,-1.819303,0.000000,180,162
H2 Molecule,-1.857275,QLTO V3 (Hadamard),1,-1.849623,0.000000,0.000000,-1.831955,0.000000,180,77
H2 Molecule,-1.857275,QLTO V2 (engine-grad),1,-1.870410,0.000000,0.000000,-1.749854,0.000000,440,212
H2 Molecule,-1.857275,QAOA (p=3),1,-1.865639,0.000000,0.000000,-1.839761,0.000000,400,16
H2 Molecule,-1.857275,Correct QNG,1,-1.776026,0.000000,0.000000,-1.776026,0.000000,400,0
H2 Molecule,-1.857275,AdamW,1,-1.855114,0.000000,0.000000,-1.843831,0.000000,320,0
H2 Molecule,-1.857275,SPSA,1,-1.784866,0.000000,0.000000,-1.784866,0.000000,200,0
