Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
H2 Molecule,-1.857275,AdamW,5,-1.849318,0.003907,0.001747,-1.842401,0.007448,640,0
H2 Molecule,-1.857275,SPSA,5,-1.830805,0.014627,0.006542,-1.830805,0.014627,400,0
LiH Molecule,-8.949737,QLTO V3 QPE (k=4),5,-8.840550,0.073604,0.032917,-8.840550,0.073604,180,844
LiH Molecule,-8.949737,Correct QNG,5,-8.484640,0.335011,0.149822,-8.484640,0.335011,2160,0
LiH Molecule,-8.949737,AdamW,5,-8.915505,0.015312,0.006848,-8.897392,0.025044,1920,0
LiH Molecule,-8.949737,SPSA,5,-8.664415,0.199485,0.089212,-8.664415,0.199485,600,0
Heisenberg N=4,-6.464102,QLTO V3 QPE (k=4),5,-6.006203,0.051109,0.022857,-5.976475,0.055982,180,360
Heisenberg N=4,-6.464102,Correct QNG,5,-6.004830,0.071455,0.031956,-6.004821,0.071456,2160,0
Heisenberg N=4,-6.464102,AdamW,5,-5.931313,0.071571,0.032007,-5.921166,0.074513,1920,0
Heisenberg N=4,-6.464102,SPSA,5,-6.009478,0.045567,0.020378,-6.009277,0.045533,600,0
Heisenberg N=6,-9.974309,QLTO V3 QPE (k=4),5,-8.830386,0.399793,0.178793,-8.811952,0.414484,180,377
Heisenberg N=6,-9.974309,Correct QNG,5,-8.870497,0.476018,0.212882,-8.870231,0.475946,3120,0
Heisenberg N=6,-9.974309,AdamW,5,-8.848071,0.131603,0.058855,-8.811497,0.111375,2880,0
Heisenberg N=6,-9.974309,SPSA,5,-8.276778,0.658295,0.294398,-8.276778,0.658295,600,0
Heisenberg N=8,-13.499730,QLTO V3 QPE (k=4),5,-11.930186,0.242926,0.108640,-11.865995,0.221569,180,394
Heisenberg N=8,-13.499730,Correct QNG,5,-12.155917,0.047688,0.021327,-12.155917,0.047688,4080,0
Heisenberg N=8,-13.499730,AdamW,5,-11.779784,0.174489,0.078034,-11.755936,0.168513,3840,0
Heisenberg N=8,-13.499730,SPSA,5,-9.722770,0.378603,0.169316,-9.686216,0.389459,600,0
